num_leading_zeros, seconds_per_hash
0, 1.2336153760552405e-06
1, 2.2798421119805424e-06
2, 3.5346815038938075e-06
3, 6.48976176045835e-06
4, 1.0316896559670567e-05
5, 2.821257232222706e-05
6, 4.344104439951479e-05
7, 9.3584746401757e-05
8, 0.00013454632440116257
9, 0.00033044856560882183
10, 0.000880481212050654
11, 0.002500686512095854
12, 0.004811900180066005
13, 0.006379466959624551
14, 0.014765481039648875
15, 0.03524736040038988
16, 0.05692114031990059
17, 0.0893945797602646
18, 0.14320192868006415
19, 0.22573509127949365
20, 0.6087037925596814
21, 1.6160960832005367
22, 3.3870606760005466
